Fue fácil aprender a usar la herramienta;La herramienta fue fácil de usar;Fue fácil comprender el uso de la herramienta;Me adecué rápidamente al ritmo de trabajo que propone la herramienta;Estoy satisfecho del apoyo de la herramienta para trabajar el tema del ensayo;Sentía seguridad en el uso de la herramienta;Entendía los pasos que tenía que seguir;Comprendía la secuencia de acciones que estaba realizando;Es fácil recuperar la narración propuesta en el mapa conceptual, a partir del ensayo;El mapa conceptual resultante enriquece la visión general del ensayo;Me gustaría que la herramienta estuviera disponible para volver a utilizarla;Fue simple crear el mapa conceptual;La próxima vez que use la herramienta, pienso que el mapa enriquecido que produzca sería más rápido de producir;La próxima vez que use la herramienta, pienso que el mapa enriquecido que produzca sería más provechoso y expresivo;Era fácil equivocarse;Cuando me equivocaba, podía corregir con facilidad el error;Si me equivocaba, requería de ayuda externa para seguir
5;4;4;4;1;2;4;4;4;2;1;2;2;2;3;3;4
5;5;5;5;5;5;5;5;5;5;5;5;3;4;3;3;5
1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1;5
5;5;4;4;3;4;5;4;4;5;4;3;4;4;2;4;2
5;3;4;3;2;3;4;4;2;2;4;2;4;4;2;4;4
4;4;4;4;4;5;5;5;4;4;4;4;4;3;4;5;5
5;5;5;5;4;4;4;5;3;4;5;4;5;5;2;2;5
3;3;4;4;2;3;3;3;1;2;3;2;1;3;3;4;2
4;5;4;4;4;4;5;5;5;5;5;4;5;5;4;4;5
5;5;4;2;5;2;4;4;3;4;4;3;2;4;4;2;2
5;5;5;5;2;3;5;4;2;3;4;5;5;3;2;5;4
4;4;4;4;4;4;4;4;4;4;3;5;4;4;3;4;2
5;5;5;5;5;5;5;5;5;5;5;5;4;5;4;5;5
3;3;4;4;3;3;3;3;4;4;4;4;4;4;2;2;1
5;4;4;2;3;3;4;4;4;4;4;4;4;4;3;4;4
5;5;5;5;4;5;5;5;4;4;5;3;4;5;4;5;5
5;5;5;5;3;5;5;5;2;4;4;4;5;4;4;5;5
